time_s,w_center_mm,theta_span_K
0.0232999999999999,-2.96389470082685,3.52826899676457
0.0233999999999999,-3.03555183033612,3.65826170899068
0.0234999999999999,-3.10787099808243,3.78952797209442
0.0235999999999999,-3.18147523540749,3.91876051334234
0.0236999999999999,-3.25625306786641,4.04830590392603
0.0237999999999999,-3.33221760547785,4.17877035101478
0.0238999999999999,-3.40993438988956,4.30334461610922
0.0239999999999999,-3.49007105232565,4.42352995691417
0.0240999999999999,-3.57280561985834,4.54050298794154
0.0241999999999999,-3.65780194982178,4.64638100747515
0.0242999999999999,-3.74440508353306,4.73284984712073
0.0243999999999999,-3.83181347946204,4.80068998792238
0.0244999999999999,-3.91974712532578,4.85962606845299
0.0245999999999999,-4.00818885017135,4.91766824349575
0.0246999999999999,-4.09661273547505,4.97604710195507
0.0247999999999999,-4.18423731919389,5.03511844454072
0.0248999999999999,-4.26978480662641,5.09754727020233
0.0249999999999999,-4.35175566001472,5.16453613598147
0.0250999999999999,-4.42955415371227,5.23588966540521
0.0251999999999999,-4.50310453750123,5.30854469831769
0.0252999999999999,-4.5718662310619,5.38212326768215
0.0253999999999999,-4.63506190650714,5.45668220447149
0.0254999999999999,-4.69224140244768,5.52522271357842
0.0255999999999999,-4.74336523257969,5.58877117170267
0.0256999999999999,-4.78893236841957,5.65995424575805
0.0257999999999999,-4.82981754797878,5.74304777126586
0.0258999999999999,-4.86661523513016,5.83171789469585
0.0259999999999999,-4.8994579455833,5.92151363944841
0.0260999999999999,-4.9286508959792,6.01042193010962
0.0261999999999999,-4.95473506997025,6.09629210494386
0.0262999999999999,-4.97830600144589,6.17641754259708
0.0263999999999999,-5.00014580749685,6.24470786211382
0.0264999999999999,-5.02079343457432,6.29794431453343
0.0265999999999999,-5.04036590747076,6.33802896516768
0.0266999999999999,-5.05913385291154,6.36442024995294
0.0267999999999999,-5.07774955878267,6.37994196947311
0.0268999999999999,-5.09652592287622,6.39380410247076
0.0269999999999999,-5.115433067213,6.41029696529532
0.0270999999999999,-5.1344154962409,6.42399586444854
0.0271999999999999,-5.15292625212828,6.4269518149042
0.0272999999999999,-5.1702886695539,6.42155765178218
0.0273999999999999,-5.18613357326949,6.4129508443811
0.0274999999999999,-5.19983735053179,6.39654505137413
0.0275999999999999,-5.21063820184559,6.37073977636779
0.0276999999999999,-5.21810083340057,6.33833933616773
0.0277999999999999,-5.22176176981429,6.30261163011234
0.0278999999999999,-5.2211219006538,6.27007048923829
0.0279999999999999,-5.21602195316382,6.24405500636591
0.0280999999999999,-5.20636778434239,6.22543710567955
0.0281999999999999,-5.19180756573775,6.21534554007801
0.0282999999999999,-5.17215685234328,6.20769665397665
0.0283999999999999,-5.14758428815965,6.1915976714285
0.0284999999999999,-5.11810361047924,6.16777571765248
0.0285999999999999,-5.0836937884842,6.14196522446626
0.0286999999999999,-5.0447387578403,6.11006948678602
0.0287999999999999,-5.00148377672817,6.06747968542852
0.0288999999999999,-4.95409219518277,6.01709894934643
0.0289999999999999,-4.90333617440851,5.96586207713701
0.0290999999999999,-4.85001693077069,5.91741547848295
0.0291999999999999,-4.79432756428452,5.87073167117092
0.0292999999999999,-4.73639522303766,5.82435763796178
0.0293999999999999,-4.67655206180405,5.77477187768599
0.0294999999999999,-4.61502904208293,5.71618497045817
0.0295999999999999,-4.55233324146237,5.64524248564116
0.0296999999999999,-4.48900704792676,5.56306711131838
0.0297999999999999,-4.42496201570917,5.47546151375586
0.0298999999999999,-4.36001304287793,5.38627324861723
0.0299999999999999,-4.29432845381831,5.29108803783843
0.0300999999999999,-4.22809291005921,5.19063805141039
0.0301999999999999,-4.16152230213827,5.0975350272407
0.0302999999999999,-4.09486841025592,5.01377941444281
0.0303999999999999,-4.02784470417035,4.93199710493479
0.0304999999999999,-3.9597335982835,4.84882388708551
0.0305999999999999,-3.89022269700123,4.75934106803339
0.0306999999999999,-3.81961321653894,4.66055071820793
0.0307999999999999,-3.74813258702861,4.55256699056624
0.0308999999999999,-3.6756952293921,4.43824150863286
0.0309999999999999,-3.60201535117807,4.3225257580924
0.0310999999999999,-3.52647698241755,4.20760876256212
0.0311999999999999,-3.44886075663227,4.09104484186081
